playerID,yearID,RegualarERA,RegSeasonWinLoss,PostSeasonWinLoss,PostERA
millean01,2016,1.17,0.91,1.0,1.47
chapmar01,2016,3.36,0.8,1.0,1.51
blachty01,2016,0.0,1.0,1.0,1.06
hillri01,2016,3.22,0.71,0.5,2.04
montgmi01,2016,3.28,0.44,0.5,2.58
rzepcma01,2016,4.5,1.0,0.0,2.27
smithwi04,2016,0.0,0.33,0.0,3.32
kershcl01,2016,4.42,0.75,0.67,1.69
hendrky01,2016,2.21,0.67,0.5,2.13
lestejo01,2016,1.69,0.79,0.75,2.44
daviswa01,2015,0.0,0.89,1.0,0.94
priceda01,2015,6.3,0.78,0.33,2.42
clippty01,2015,6.8,0.56,0.0,2.93
arrieja01,2015,4.52,0.79,0.67,1.77
cuetojo01,2015,13.62,0.46,0.67,3.69
reedad01,2015,5.52,0.5,0.0,2.69
greinza01,2015,3.29,0.86,0.5,1.66
sippto01,2015,0.0,0.43,0.0,1.99
stromma01,2015,4.57,1.0,1.0,1.67
hamelco01,2015,2.7,0.62,0.0,3.65
daviswa01,2014,0.68,0.82,1.0,1.0
thornma01,2014,3.86,0.25,0.0,1.28
frasoja01,2014,0.97,0.8,1.0,2.44
herreke01,2014,2.03,0.57,1.0,1.41
strichu01,2014,7.5,1.0,1.0,0.0
priceda01,2014,2.25,0.56,0.0,3.35
neshepa01,2014,2.35,0.78,0.0,1.87
peavyja01,2014,5.76,0.35,0.33,3.45
affelje01,2014,0.0,0.67,1.0,2.28
odayda01,2014,12.6,0.71,0.0,1.7
wilsobr01,2013,0.0,0.67,1.0,0.66
ueharko01,2013,1.0,0.8,0.5,1.09
breslcr01,2013,18.0,0.71,1.0,1.81
kershcl01,2013,3.5,0.64,0.33,1.83
melanma01,2013,9.82,0.6,1.0,1.39
nolasri01,2013,6.75,0.54,0.0,3.69
peavyja01,2013,9.03,0.71,0.0,4.16
wachami01,2013,2.89,0.8,0.8,2.78
carpeda01,2013,13.5,0.8,0.0,1.78
rosentr01,2013,0.0,0.33,1.0,2.63
albural01,2012,2.25,,1.0,0.68
broxtjo01,2012,0.0,0.44,0.0,2.55
mujiced01,2012,5.5,0.0,1.0,2.71
romose01,2012,0.69,0.67,1.0,1.79
medlekr01,2012,2.84,0.91,0.0,1.57
sanchan01,2012,1.8,0.41,0.33,3.84
saundjo01,2012,1.59,0.41,1.0,3.93
boggsmi01,2012,1.8,0.8,0.0,2.21
anderbr04,2012,0.0,0.67,1.0,2.57
cookry01,2012,8.1,0.75,1.0,2.09
adamsmi03,2011,3.69,0.56,1.0,1.62
fistedo01,2011,4.48,0.46,0.67,2.56
saitota01,2011,0.0,0.67,1.0,2.03
doteloc01,2011,2.39,0.56,0.67,3.48
rzepcma01,2011,9.64,0.25,1.0,3.47
axforjo01,2011,1.13,0.5,1.0,1.95
moorema02,2011,0.9,1.0,1.0,2.89
jacksed01,2011,5.53,0.57,0.5,3.75
motteja01,2011,2.08,0.71,0.0,2.25
putzjj01,2011,3.86,0.5,0.0,2.17
kimbrcr01,2010,2.08,1.0,0.0,0.44
lopezja02,2010,0.69,0.67,1.0,2.11
benoijo01,2010,0.0,0.33,1.0,1.34
oswalro01,2010,3.62,0.5,0.5,2.58
leecl02,2010,2.69,0.57,0.6,3.16
wilsobr01,2010,0.0,0.5,1.0,1.81
farnsky01,2010,0.0,0.6,1.0,3.91
ramirra02,2010,16.5,0.25,0.0,2.57
chapmar01,2010,0.0,0.5,0.0,2.03
odayda01,2010,9.0,0.75,0.0,2.03
sherrge01,2009,8.68,0.5,1.0,1.53
leecl02,2009,1.3,0.52,1.0,3.27
frankry01,2009,0.0,0.57,0.0,1.92
papeljo01,2009,13.5,0.5,0.0,1.85
padilvi01,2009,3.05,0.67,0.5,4.06
carpech01,2009,7.2,0.81,0.0,2.24
mijarjo01,2009,13.5,0.5,0.0,2.34
kazmisc01,2009,7.61,0.53,0.0,3.83
pavanca01,2009,2.57,0.54,0.0,5.01
broxtjo01,2009,4.23,0.78,0.0,2.61
harderi01,2008,6.23,0.83,0.0,2.05
gallayo01,2008,0.0,,0.0,1.88
sabatcc01,2008,12.27,0.63,0.0,2.74
priceda01,2008,1.35,,1.0,1.93
papeljo01,2008,0.0,0.56,1.0,2.34
howeljp01,2008,3.7,0.86,0.0,2.22
wadeco01,2008,3.68,0.67,0.0,2.27
blantjo01,2008,3.3,0.43,1.0,4.58
lopezja02,2008,4.5,1.0,0.0,2.43
rodrifr03,2008,7.71,0.4,0.0,2.24
romerjc01,2007,4.5,0.5,0.0,2.2
papeljo01,2007,0.0,0.25,1.0,1.85
marmoca01,2007,9.0,0.83,0.0,1.43
corpama01,2007,0.56,0.67,1.0,2.08
gagneer01,2007,5.57,0.67,0.0,4.46
perezra01,2007,23.25,0.33,1.0,1.78
valvejo01,2007,2.7,0.2,0.0,2.66
hergema01,2007,0.0,0.83,1.0,2.96
beckejo02,2007,1.07,0.74,1.0,3.27
